YearMonth,Index,floatShares
2021-10,USWS,12850000.0
2021-11,USWS,12850000.0
2021-12,USWS,12850000.0
2022-01,USWS,48372400.0
2022-02,USWS,48372400.0
2022-03,USWS,48372400.0
2022-04,USWS,48372400.0
2022-05,USWS,48372400.0
2022-06,USWS,48372400.0
2022-07,USWS,48372400.0
2020-01,ALGN,78760000.0
2020-02,ALGN,78760000.0
2020-03,ALGN,78760000.0
2020-04,ALGN,78790000.0
2020-05,ALGN,78790000.0
2020-06,ALGN,78790000.0
2020-07,ALGN,78850000.0
2020-08,ALGN,78850000.0
2020-09,ALGN,78850000.0
2020-10,ALGN,79130000.0
2020-11,ALGN,79130000.0
2020-12,ALGN,79130000.0
2021-01,ALGN,79140000.0
2021-02,ALGN,79140000.0
2021-03,ALGN,79140000.0
2021-04,ALGN,79010000.0
2021-05,ALGN,79010000.0
2021-06,ALGN,79010000.0
2021-07,ALGN,78850000.0
2021-08,ALGN,78850000.0
2021-09,ALGN,78850000.0
2021-10,ALGN,78800000.0
2021-11,ALGN,78800000.0
2021-12,ALGN,78800000.0
2022-01,ALGN,78810000.0
2022-02,ALGN,78810000.0
2022-03,ALGN,78810000.0
2022-04,ALGN,78110000.0
2022-05,ALGN,78110000.0
2022-06,ALGN,78110000.0
2022-07,ALGN,73859065.0
2020-01,PCSB,16900000.0
2020-02,PCSB,16900000.0
2020-03,PCSB,16900000.0
2020-04,PCSB,16800000.0
2020-05,PCSB,16800000.0
2020-06,PCSB,16800000.0
2020-07,PCSB,16420000.000000002
2020-08,PCSB,16420000.000000002
2020-09,PCSB,16420000.000000002
2020-10,PCSB,16040000.0
2020-11,PCSB,16040000.0
2020-12,PCSB,16040000.0
2021-01,PCSB,15970000.0
2021-02,PCSB,15970000.0
2021-03,PCSB,15970000.0
2021-04,PCSB,15630000.0
2021-05,PCSB,15630000.0
2021-06,PCSB,15630000.0
2021-07,PCSB,15520000.0
2021-08,PCSB,15520000.0
2021-09,PCSB,15520000.0
2021-10,PCSB,15330000.0
2021-11,PCSB,15330000.0
2021-12,PCSB,15330000.0
2022-01,PCSB,15330000.0
2022-02,PCSB,15330000.0
2022-03,PCSB,15330000.0
2022-04,PCSB,15330000.0
2022-05,PCSB,15330000.0
2022-06,PCSB,15330000.0
2022-07,PCSB,12144530.0
2020-01,HRMY,62980000.0
2020-02,HRMY,62980000.0
2020-03,HRMY,62980000.0
2020-04,HRMY,62980000.0
2020-05,HRMY,62980000.0
2020-06,HRMY,62980000.0
2020-07,HRMY,56890000.0
2020-08,HRMY,56890000.0
2020-09,HRMY,56890000.0
2020-10,HRMY,56890000.0
2020-11,HRMY,56890000.0
2020-12,HRMY,56890000.0
2021-01,HRMY,56900000.0
2021-02,HRMY,56900000.0
2021-03,HRMY,56900000.0
2021-04,HRMY,57010000.0
2021-05,HRMY,57010000.0
2021-06,HRMY,57010000.0
2021-07,HRMY,58470000.0
2021-08,HRMY,58470000.0
2021-09,HRMY,58470000.0
2021-10,HRMY,58870000.0
2021-11,HRMY,58870000.0
2021-12,HRMY,58870000.0
2022-01,HRMY,59050000.0
2022-02,HRMY,59050000.0
2022-03,HRMY,59050000.0
2022-04,HRMY,59160000.0
2022-05,HRMY,59160000.0
2022-06,HRMY,59160000.0
2022-07,HRMY,29888442.0
2020-01,RMBI,13530000.0
2020-02,RMBI,13530000.0
2020-03,RMBI,13530000.0
2020-04,RMBI,13530000.0
2020-05,RMBI,13530000.0
2020-06,RMBI,13530000.0
2020-07,RMBI,13300000.0
2020-08,RMBI,13300000.0
2020-09,RMBI,13300000.0
2020-10,RMBI,13050000.0
2020-11,RMBI,13050000.0
2020-12,RMBI,13050000.0
2021-01,RMBI,12880000.0
2021-02,RMBI,12880000.0
2021-03,RMBI,12880000.0
2021-04,RMBI,12470000.0
